ID,Delinquency_Status,Loan_Term,Borrower_Gender,Loan_Purpose,Home_Status,Age_Group,Credit_Score_Range,Income,Loan_Amount
1,1,36 months,Male,House,Own,20-25,300-500,71,15000
2,0,36 months,Male,House,Rent,>25,300-500,112,20000
3,0,36 months,Male,Car,Rent,>25,>500,34,25000
4,1,36 months,Male,House,Rent,20-25,300-500,91,15000
5,1,36 months,Female,House,Mortgage,>25,300-500,80,5000
6,1,36 months,Male,House,Mortgage,>25,300-500,40,15000
7,1,36 months,Male,Car,Rent,>25,>500,102,25000
8,1,36 months,Female,House,Mortgage,20-25,>500,106,10000
9,1,36 months,Female,Personal,Mortgage,>25,300-500,94,25000
10,1,36 months,Male,Other,Mortgage,>25,>500,94,10000
11,1,36 months,Male,House,Mortgage,>25,300-500,107,10000
12,1,36 months,Male,Other,Mortgage,20-25,>500,119,10000
13,1,60 months,Male,Car,Mortgage,20-25,>500,43,15000
14,1,36 months,Male,House,Mortgage,>25,300-500,22,5000
15,1,36 months,Female,House,Mortgage,>25,300-500,41,15000
16,0,36 months,Female,House,Rent,>25,300-500,72,5000
17,1,36 months,Male,Car,Mortgage,20-25,300-500,21,25000
18,1,36 months,Male,House,Mortgage,20-25,>500,107,20000
19,0,36 months,Female,House,Mortgage,>25,300-500,49,25000
20,1,36 months,Male,House,Mortgage,>25,300-500,57,15000
21,0,36 months,Male,Personal,Mortgage,20-25,300-500,21,15000
22,0,36 months,Female,Personal,Rent,20-25,300-500,83,5000
23,1,36 months,Male,Personal,Rent,20-25,300-500,79,15000
24,0,36 months,Male,House,Rent,>25,300-500,40,10000
25,1,36 months,Male,House,Rent,20-25,300-500,52,15000
26,1,36 months,Male,House,Rent,20-25,300-500,95,5000
27,0,36 months,Male,Car,Rent,20-25,>500,77,5000
28,1,36 months,Female,Personal,Rent,20-25,>500,41,10000
29,1,36 months,Female,Car,Rent,20-25,300-500,108,5000
30,1,36 months,Female,House,Rent,20-25,>500,68,20000
31,1,36 months,Male,House,Mortgage,>25,300-500,110,25000
32,1,36 months,Female,Wedding,Mortgage,>25,>500,78,15000
33,1,36 months,Female,House,Mortgage,20-25,300-500,61,20000
34,0,36 months,Female,Car,Mortgage,>25,>500,111,15000
35,0,36 months,Male,Other,Mortgage,20-25,300-500,79,20000
36,0,36 months,Male,Other,Rent,>25,300-500,99,15000
37,1,36 months,Female,House,Mortgage,>25,>500,34,10000
38,1,36 months,Male,Personal,Rent,>25,300-500,81,5000
39,1,36 months,Female,House,Mortgage,20-25,>500,81,5000
40,0,36 months,Female,House,Mortgage,>25,>500,66,10000
41,1,36 months,Male,House,Rent,20-25,300-500,81,20000
42,0,36 months,Female,Car,Mortgage,>25,300-500,70,25000
43,1,36 months,Male,Medical,Mortgage,20-25,300-500,74,20000
44,0,36 months,Male,House,Mortgage,20-25,300-500,83,5000
45,1,60 months,Female,Other,Own,20-25,300-500,22,25000
46,1,36 months,Female,Personal,Rent,>25,300-500,70,15000
47,0,36 months,Male,Medical,Rent,>25,300-500,26,25000
48,1,36 months,Female,Other,Mortgage,>25,300-500,40,20000
49,1,36 months,Female,House,Rent,>25,300-500,92,10000
50,0,36 months,Male,Personal,Rent,>25,>500,58,15000
51,1,36 months,Female,House,Rent,>25,>500,37,20000
52,0,36 months,Female,House,Mortgage,20-25,300-500,23,15000
53,1,36 months,Female,House,Rent,>25,>500,108,25000
54,1,36 months,Male,House,Mortgage,20-25,>500,79,5000
55,0,36 months,Male,House,Rent,>25,300-500,33,20000
56,1,36 months,Male,Personal,Rent,20-25,>500,28,10000
57,1,60 months,Female,House,Rent,>25,300-500,109,25000
58,1,60 months,Male,House,Mortgage,>25,300-500,72,20000
59,1,36 months,Female,House,Rent,20-25,300-500,21,10000
60,0,36 months,Male,Other,Mortgage,>25,300-500,103,20000
61,0,36 months,Male,Car,Mortgage,20-25,>500,111,25000
62,1,36 months,Male,House,Own,>25,300-500,79,20000
63,1,36 months,Female,House,Rent,20-25,300-500,90,15000
64,1,36 months,Male,House,Mortgage,>25,300-500,63,25000
65,0,36 months,Female,Car,Rent,20-25,300-500,27,20000
66,0,36 months,Female,Car,Mortgage,20-25,300-500,66,5000
67,1,36 months,Male,Personal,Mortgage,>25,>500,54,20000
68,1,36 months,Male,House,Mortgage,>25,>500,97,15000
69,1,36 months,Female,Car,Mortgage,>25,300-500,100,10000
70,0,36 months,Female,Car,Rent,20-25,300-500,55,10000
71,1,36 months,Male,House,Rent,20-25,>500,69,10000
72,0,36 months,Male,Car,Mortgage,>25,300-500,23,5000
73,1,36 months,Female,House,Rent,>25,>500,21,15000
74,1,36 months,Male,House,Rent,>25,>500,25,25000
75,1,60 months,Male,Other,Rent,>25,300-500,73,10000
76,1,36 months,Male,House,Mortgage,20-25,300-500,23,15000
77,1,60 months,Male,House,Mortgage,20-25,>500,73,20000
78,1,36 months,Female,House,Mortgage,20-25,300-500,112,5000
79,1,36 months,Female,Wedding,Rent,20-25,300-500,82,15000
80,1,36 months,Female,Car,Rent,>25,300-500,37,15000
81,0,36 months,Female,House,Rent,20-25,300-500,109,25000
82,0,36 months,Female,Personal,Rent,>25,>500,63,15000
83,1,36 months,Male,House,Rent,20-25,300-500,53,25000
84,1,36 months,Male,Car,Mortgage,20-25,300-500,93,5000
85,1,36 months,Female,House,Mortgage,>25,300-500,81,5000
86,1,36 months,Female,House,Mortgage,>25,300-500,119,20000
87,1,36 months,Male,House,Mortgage,20-25,300-500,33,25000
88,1,60 months,Male,House,Rent,20-25,300-500,114,25000
89,1,36 months,Female,House,Mortgage,>25,>500,67,10000
90,1,36 months,Female,House,Mortgage,>25,300-500,34,10000
91,1,36 months,Male,Car,Own,>25,300-500,91,20000
92,1,36 months,Male,Personal,Rent,20-25,300-500,97,5000
93,1,36 months,Male,House,Own,20-25,>500,106,10000
94,1,36 months,Female,House,Mortgage,20-25,300-500,81,15000
95,0,36 months,Female,House,Mortgage,20-25,>500,59,5000
96,1,36 months,Male,House,Mortgage,>25,300-500,104,15000
97,1,36 months,Female,House,Rent,20-25,>500,99,25000
98,1,36 months,Male,House,Rent,20-25,300-500,101,5000
99,0,36 months,Male,House,Mortgage,>25,>500,72,20000
100,0,36 months,Male,Car,Mortgage,20-25,>500,43,25000
101,1,60 months,Male,House,Rent,>25,300-500,45,25000
102,1,60 months,Female,House,Rent,20-25,300-500,108,15000
103,1,36 months,Male,House,Mortgage,20-25,300-500,79,25000
104,1,36 months,Male,House,Mortgage,20-25,300-500,60,10000
105,0,36 months,Male,House,Rent,>25,>500,48,5000
106,1,36 months,Male,House,Mortgage,20-25,300-500,34,10000
107,0,36 months,Male,Car,Rent,>25,>500,64,15000
108,1,36 months,Male,House,Rent,>25,>500,84,15000
109,1,36 months,Male,House,Rent,20-25,>500,108,5000
110,1,36 months,Male,House,Rent,>25,300-500,90,25000
111,1,36 months,Male,Car,Rent,>25,>500,28,20000
112,0,36 months,Male,Car,Rent,20-25,300-500,107,15000
113,1,36 months,Female,House,Rent,20-25,300-500,20,5000
114,1,36 months,Female,Car,Mortgage,>25,300-500,27,20000
115,1,36 months,Female,other,Own,20-25,300-500,107,25000
116,1,36 months,Female,House,Mortgage,20-25,300-500,82,15000
117,0,36 months,Male,House,Mortgage,20-25,300-500,30,5000
118,0,36 months,Male,House,Mortgage,20-25,300-500,100,5000
119,1,36 months,Female,Other,Mortgage,20-25,300-500,27,5000
120,0,36 months,Male,Other,Rent,>25,>500,54,15000
121,1,36 months,Male,Car,Rent,20-25,300-500,54,20000
122,1,60 months,Female,Car,Mortgage,>25,300-500,52,5000
123,1,36 months,Male,House,Mortgage,>25,300-500,24,25000
124,1,36 months,Female,House,Mortgage,>25,>500,60,5000
125,1,36 months,Female,House,Mortgage,>25,300-500,47,20000
126,1,36 months,Male,House,Rent,20-25,300-500,26,15000
127,1,36 months,Female,House,Mortgage,>25,300-500,92,5000
128,1,36 months,Female,Other,Mortgage,>25,300-500,91,5000
129,1,36 months,Female,House,Mortgage,>25,>500,31,25000
130,0,36 months,Female,Car,Mortgage,20-25,300-500,53,25000
